,codipreg,pregunta,pregunta_mask,x,y,cluster
50,51,¿Qué tan lejos estamos del máximo histórico?,¿Qué tan lejos estamos del máximo histórico?,4.8999724,8.778097,-1
51,52,¿Cuál es la media móvil de 12 meses?,[LOC] es la media móvil de 12 meses?,4.8069286,8.873384,-1
52,53,¿Qué impuesto es el que más ha crecido?,¿Qué impuesto es el que más ha crecido?,-0.1596765,-1.8580706,-1
53,54,¿Y el que más cayó?,[LOC]Y el que más cayó?,1.9581783,5.7985945,-1
54,55,¿Cómo impactó la última reforma fiscal en los números?,[MISC] impactó la última reforma fiscal en los números?,0.49190694,6.099986,-1
55,56,Tirame los datos del último semestre.,[PER] los datos del último semestre.,4.9144983,8.695119,-1
56,57,¿Cuál es la situación actual de los recursos provinciales?,[LOC] es la situación actual de los recursos provinciales?,1.7259371,3.5645907,-1
57,58,¿Estamos mejor o peor que en la gestión anterior?,¿Estamos mejor o peor que en la gestión anterior?,1.5515825,5.8799057,-1
58,59,¿El dato de este mes es bueno o malo?,¿El dato de este mes es bueno o malo?,4.9464355,8.534102,-1
59,60,¿Cuál es la proyección para fin de año?,[LOC] es la proyección para fin de año?,4.821644,8.569614,-1
60,61,¿Se cumplió la meta de recaudación del presupuesto?,¿Se cumplió la meta de recaudación del presupuesto?,4.266925,8.046057,-1
61,62,¿Cuánto fue lo recaudado en el gobierno de Pérez?,[PER] fue lo recaudado en el gobierno de [PER]?,0.021661226,5.71729,-1
62,63,"¿El impuesto automotor, cuánto representa?","¿El impuesto automotor, cuánto representa?",-0.2752282,-1.9521035,-1
63,64,Quiero ver la recaudación mes a mes de 2023.,Quiero ver la recaudación mes a mes de 2023.,5.977187,13.0640745,-1
64,65,¿Hubo algún cambio estructural en la recaudación?,[ORG] algún cambio estructural en la recaudación?,3.7567644,7.661151,-1
65,66,¿La recaudación provincial crece más que la nacional?,¿La recaudación provincial crece más que la nacional?,1.7892208,3.6868813,-1
66,67,Dame el mínimo de los últimos 5 años.,Dame el mínimo de los últimos 5 años.,4.911909,8.650536,-1
67,68,¿El promedio de este año es mayor al del año pasado?,¿El promedio de este año es mayor al del año pasado?,4.569855,8.591331,-1
68,69,¿Qué nos dicen estos números sobre la actividad económica?,¿Qué nos dicen estos números sobre la actividad económica?,3.1594083,8.216757,-1
69,70,¿La presión tributaria aumentó?,¿La presión tributaria aumentó?,3.291479,9.680691,-1
70,71,¿Cuál es la recaudación total en dólares?,[LOC] es la recaudación total en dólares?,4.266317,7.931198,-1
71,72,¿Cómo se ve la serie desestacionalizada?,[MISC] se ve la serie desestacionalizada?,5.0164833,7.4216213,-1
72,73,¿Qué participación tienen los recursos propios?,¿[LOC] participación tienen los recursos propios?,3.542708,6.9055295,-1
73,74,¿En qué año se dio el mayor salto interanual?,¿En qué año se dio el mayor salto interanual?,4.8709292,8.623949,-1
74,75,¿Y la mayor caída?,[LOC]Y la mayor caída?,1.9990435,5.801214,-1
75,76,¿Cómo fue la recaudación durante la crisis de 2008?,[MISC] fue la recaudación durante la crisis de 2008?,0.5730659,6.0257826,-1
76,77,¿Podemos comparar la recaudación de Mendoza con la de Córdoba?,[ORG] comparar la recaudación de [LOC] con la de [LOC]?,4.169807,7.046227,-1
77,78,¿El último dato es preliminar o definitivo?,¿El último dato es preliminar o definitivo?,4.946812,8.821215,-1
78,79,¿Por qué hay un pico en diciembre siempre?,¿Por qué hay un pico en diciembre siempre?,4.7581906,8.456501,-1
79,80,¿Qué tan volátil es la recaudación de Ingresos Brutos?,¿Qué tan volátil es la recaudación de [MISC]?,5.4733095,6.993944,-1
80,81,¿Cuál es el promedio de los últimos 3 años?,[LOC] es el promedio de los últimos 3 años?,4.515167,8.65677,-1
81,82,Necesito el dato exacto de recaudación de mayo 2024.,Necesito el dato exacto de recaudación de mayo 2024.,8.025499,10.033639,-1
82,83,Mostrar evolución de la recaudación ajustada por tipo de cambio.,Mostrar evolución de la recaudación ajustada por tipo de cambio.,0.32980564,10.881991,-1
83,84,¿Qué tan correlacionada está la recaudación con la inflación?,¿Qué tan correlacionada está la recaudación con la inflación?,2.8848188,10.03681,-1
84,85,¿Cuál es el número final del año pasado?,[LOC] es el número final del año pasado?,4.9394073,8.733734,-1
85,86,¿Cómo impacta una sequía en la recaudación?,[MISC] impacta una sequía en la recaudación?,3.986292,5.897723,-1
86,87,¿Cuál fue el valor más bajo de los últimos 24 meses?,¿[LOC] fue el valor más bajo de los últimos 24 meses?,4.905126,8.644868,-1
87,88,¿Qué porcentaje de la recaudación es de origen provincial?,¿Qué porcentaje de la recaudación es de origen provincial?,1.7254289,3.617767,-1
88,89,¿La recaudación per cápita viene aumentando?,¿La recaudación per cápita viene aumentando?,3.9348779,8.44481,-1
89,90,¿Cuál fue la variación punta a punta de la recaudación en 2023?,¿[LOC] fue la variación punta a punta de la recaudación en 2023?,4.389869,7.8796916,-1
90,91,¿El gobierno está gastando más de lo que recauda?,¿El gobierno está gastando más de lo que recauda?,0.16449685,3.8567529,-1
91,92,¿Hay superávit fiscal este mes?,[MISC] superávit fiscal este mes?,0.35580346,6.2852535,-1
92,93,¿Cómo le fue a la recaudación en el último gobierno radical?,[MISC] le fue a la recaudación en el último gobierno radical?,0.9203933,5.824538,-1
93,94,Quiero un análisis de la situación fiscal actual.,Quiero un análisis de la situación fiscal actual.,0.21058935,-4.5437884,-1
94,95,¿Qué significa que la recaudación crezca por debajo de la inflación?,¿[LOC] significa que la recaudación crezca por debajo de la inflación?,3.0008545,10.067838,-1
95,96,¿Cuál es el impuesto más estable?,[LOC] es el impuesto más estable?,-0.22296122,-1.9276993,-1
96,97,¿Cuál es el impuesto más volátil?,[LOC] es el impuesto más volátil?,-0.18871568,-1.872971,-1
97,98,Dame la serie del impuesto inmobiliario.,Dame la serie del impuesto inmobiliario.,1.8120657,-2.103282,-1
98,99,¿Cómo se compara el primer semestre de este año con el del anterior?,[MISC] se compara el primer semestre de este año con el del anterior?,4.976769,8.609612,-1
99,100,¿Se puede bajar Ingresos Brutos con esta recaudación?,¿Se puede bajar [PER] con esta recaudación?,3.8982074,7.872466,-1
100,101,¿Es sostenible este nivel de ingresos?,¿Es sostenible este nivel de ingresos?,3.1567776,8.237653,-1
101,102,¿Cuál es el promedio histórico de la recaudación como % del PBI?,[LOC] es el promedio histórico de la recaudación como % del PBI?,3.804042,8.339781,-1
102,103,¿El dato de recaudación incluye moratorias?,¿El dato de recaudación incluye moratorias?,4.2185674,7.6407022,-1
103,104,¿Cómo fue el desempeño del impuesto a los sellos en la última década?,[MISC] fue el desempeño del impuesto a los sellos en la última década?,0.27031323,-4.6397247,-1
104,105,¿Cuál es la proyección de recaudación para los próximos 3 meses?,[LOC] es la proyección de recaudación para los próximos 3 meses?,4.265663,7.66818,-1
105,106,¿Este mes superamos el promedio de los últimos 12 meses?,¿Este mes superamos el promedio de los últimos 12 meses?,4.7604628,8.549443,-1
106,107,¿Cuál fue la recaudación total durante la gestión de Cornejo?,¿[LOC] fue la recaudación total durante la gestión de [LOC]?,4.304999,7.794897,-1
107,108,¿La recaudación de origen nacional viene creciendo?,¿La recaudación de origen nacional viene creciendo?,4.040174,8.370517,-1
108,109,¿Por qué en enero siempre baja la recaudación?,¿Por qué en enero siempre baja la recaudación?,4.584391,8.346653,-1
109,110,¿Es este el peor trimestre de los últimos 5 años?,¿Es este el peor trimestre de los últimos 5 años?,4.942217,8.642475,-1
110,111,¿Qué opinan en CEFIM sobre la última reforma de ingresos brutos?,¿[LOC] opinan en CEFIM sobre la última reforma de ingresos brutos?,0.52425414,6.077301,-1
111,112,¿Cuál es la diferencia en millones entre lo recaudado este mes y el anterior?,[LOC] es la diferencia en millones entre lo recaudado este mes y el anterior?,4.6983495,8.411362,-1
112,113,¿La recaudación de ATP cuánto aportó en su momento?,¿La recaudación de [ORG] cuánto aportó en su momento?,4.5136905,8.328194,-1
113,114,¿Se nota en los números la recuperación del turismo?,¿Se nota en los números la recuperación del turismo?,4.2052617,8.301555,-1
114,115,¿Cuál fue el mes con la menor recaudación durante la pandemia?,¿[LOC] fue el mes con la menor recaudación durante la pandemia?,4.814526,8.52361,-1
115,116,¿El nivel de recaudación actual alcanza para cubrir los salarios públicos?,¿El nivel de recaudación actual alcanza para cubrir los salarios públicos?,3.9537182,8.3121395,-1
116,117,¿Cómo evolucionó la participación de los impuestos patrimoniales?,[MISC] evolucionó la participación de los impuestos patrimoniales?,0.25653386,-4.619886,-1
117,118,Necesito un gráfico que compare la evolución de IIBB y Sellos.,Necesito un gráfico que compare la evolución de [LOC] y [LOC].,-5.722467,12.148764,-1
118,119,¿La recaudación está creciendo a un ritmo decreciente?,¿La recaudación está creciendo a un ritmo decreciente?,4.049346,8.328292,-1
119,120,"En resumen, ¿estamos bien o mal en términos de recursos","En resumen, [LOC]estamos bien o mal en términos de recursos",2.8092632,6.8380656,-1
120,121,Medir la eficiencia administrativa de... la recaudación de Automotor en función de la actividad económica para el período 2022-2025?,Medir la eficiencia administrativa de... la recaudación de [PER] en función de la actividad económica para el período 2022-2025?,5.135446,1.998588,24
121,122,¿Para qué se usa el dinero de... el Impuesto Inmobiliario en 2022?,[LOC]Para qué se usa el dinero de... el [LOC] en 2022?,12.078781,11.057141,30
122,123,¿Cuál es la brecha fiscal en... la recaudación de Sellos en función de la implementación del SUATS para el período 2022-2025?,[LOC] es la brecha fiscal en... la recaudación de [LOC] en función de la implementación del [ORG] para el período 2022-2025?,-1.7467644,7.8731594,24
123,124,¿Por qué tengo que pagar tanto por... el Impuesto Automotor en 2026?,¿Por qué tengo que pagar tanto por... el [MISC] en 2026?,17.58536,3.563271,26
124,125,Proyectar la recaudación de... la recaudación de Automotor en función de la política de alícuotas para el período 2022-2025?,Proyectar la recaudación de... la recaudación de [PER] en función de la política de alícuotas para el período 2022-2025?,4.002528,7.5022964,24
125,126,¿Cómo podemos justificar... la reforma del Impuesto Inmobiliario?,[MISC] podemos justificar... la reforma del Impuesto Inmobiliario?,-2.8406088,4.2362866,-1
126,127,¿Cuál es el costo fiscal de... la caída de Ingresos Brutos?,[LOC] es el costo fiscal de... la caída de [MISC]?,-0.32401642,6.2847104,-1
127,128,¿Qué estrategia de comunicación se usó para... la relación con los municipios?,¿[LOC] estrategia de comunicación se usó para... la relación con los municipios?,0.52725136,4.819324,-1
128,129,¿Hay descuentos para... el Impuesto de Sellos en 2023?,[MISC] descuentos para... el [LOC] en 2023?,21.745998,9.855471,28
129,130,¿Cómo se calcula el... el Impuesto de Sellos en 2022?,[LOC] se calcula el... el [LOC] en 2022?,5.3852525,10.384685,21
130,131,¿Cuál es el multiplicador fiscal de... la recaudación de Sellos en función de la inflación para el período 2022-2025?,[LOC] es el multiplicador fiscal de... la recaudación de [LOC] en función de la inflación para el período 2022-2025?,-2.1827536,8.351704,24
131,132,Mi boleta de... el Impuesto de Sellos en 2025?,Mi boleta de... el [LOC] en 2025?,14.41696,10.302267,-1
132,133,¿Cómo se compara Mendoza con otras provincias en... la Ley de Coparticipación Municipal?,[MISC] se compara [LOC] con otras provincias en... la [MISC],8.0456295,-4.3426766,-1
133,134,Análisis econométrico de... la recaudación de Sellos en función de la política de alícuotas para el período 2022-2025?,[PER] econométrico de... la recaudación de [LOC] en función de la política de alícuotas para el período 2022-2025?,4.08409,7.342507,24
134,135,¿Dónde puedo pagar... los planes de pago en 2023?,¿Dónde puedo pagar... los planes de pago en 2023?,15.398109,11.065885,-1
135,136,Análisis econométrico de... la recaudación de Inmobiliario en función de la actividad económica para el período 2022-2025?,[PER] econométrico de... la recaudación de [PER] en función de la actividad económica para el período 2022-2025?,3.1393383,8.238251,24
136,137,Análisis de la gobernanza fiscal en... la dependencia de los fondos nacionales?,[PER] de la gobernanza fiscal en... la dependencia de los fondos nacionales?,-0.34748894,5.6957664,-1
137,138,¿Cómo ha evolucionado el federalismo fiscal fractal en... la recaudación de Inmobiliario en función de la política de alícuotas para el período 2022-2025?,[MISC] ha evolucionado el federalismo fiscal fractal en... la recaudación de [PER] en función de la política de alícuotas para el período 2022-2025?,0.46284083,5.993838,24
138,139,¿Subió mucho el... el Impuesto de Sellos en 2020?,¿[MISC] mucho el... el [LOC] en 2020?,7.1761303,12.113766,21
139,140,¿Es sostenible el actual nivel de... el sistema SUATS?,¿Es sostenible el actual nivel de... el sistema [ORG]?,4.1818886,5.578543,-1
140,141,Modelizar el impacto de... la recaudación de Ingresos Brutos en función de la inflación para el período 2022-2025?,[PER] el impacto de... la recaudación de [MISC] en función de la inflación para el período 2022-2025?,2.7891402,10.049944,24
141,142,¿Es sostenible el actual nivel de... la estrategia de comunicación fiscal?,¿Es sostenible el actual nivel de... la estrategia de comunicación fiscal?,-1.0658642,4.9734497,-1
142,143,¿Por qué tengo que pagar tanto por... el Impuesto de Sellos en 2020?,¿Por qué tengo que pagar tanto por... el [LOC] en 2020?,17.586834,3.563765,26
143,144,Análisis econométrico de... la recaudación de Sellos en función de la actividad económica para el período 2022-2025?,[PER] econométrico de... la recaudación de [LOC] en función de la actividad económica para el período 2022-2025?,3.0944543,8.220488,24
144,145,Descomponer la varianza de la recaudación de... la recaudación de Sellos en función de la inflación para el período 2022-2025?,Descomponer la varianza de la recaudación de... la recaudación de [LOC] en función de la inflación para el período 2022-2025?,2.6162875,10.232507,24
145,146,¿Es fácil pagar online... el Impuesto Automotor en 2022?,¿Es fácil pagar online... el [LOC] en 2022?,2.643537,-2.5858033,-1
146,147,¿Cómo se calcula el... la suba de impuestos en 2022?,[LOC] se calcula el... la suba de impuestos en 2022?,-0.11302598,-1.799515,22
147,148,¿Qué pasa si no pago... el Impuesto Inmobiliario en 2020?,¿[LOC] pasa si no pago... el [LOC] en 2020?,13.639272,7.852743,29
148,149,Evaluar la progresividad del... la recaudación de Automotor en función de la actualización catastral para el período 2022-2025?,Evaluar la progresividad del... la recaudación de [PER] en función de la actualización catastral para el período 2022-2025?,4.868493,5.2604284,24
149,150,Evaluar la progresividad del... la recaudación de Inmobiliario en función de la actualización catastral para el período 2022-2025?,Evaluar la progresividad del... la recaudación de [PER] en función de la actualización catastral para el período 2022-2025?,4.9008074,5.2814984,24
150,151,¿Para qué se usa el dinero de... el Impuesto Inmobiliario en 2023?,[LOC]Para qué se usa el dinero de... el [LOC] en 2023?,12.083315,11.069367,30
151,152,Estimar el impacto real de... la recaudación de Ingresos Brutos en función de la inflación para el período 2022-2025?,[LOC] el impacto real de... la recaudación de [MISC] en función de la inflación para el período 2022-2025?,2.822514,10.026457,24
152,153,¿Subió mucho el... los planes de pago en 2025?,¿[MISC] mucho el... los planes de pago en 2025?,12.705563,9.588425,-1
153,154,¿Cómo me afecta... mis impuestos en 2022?,[MISC] me afecta... mis impuestos en 2022?,0.22217095,-2.8368847,22
154,155,Evaluando la reforma de... los topes al Impuesto Automotor?,Evaluando la reforma de... los topes al [MISC]?,1.492434,5.8050156,-1
155,156,Análisis econométrico de... la recaudación de Automotor en función de la inflación para el período 2022-2025?,[PER] econométrico de... la recaudación de [PER] en función de la inflación para el período 2022-2025?,2.696032,10.16349,24
156,157,Proyectar la recaudación de... la recaudación de Inmobiliario en función de la actualización catastral para el período 2022-2025?,Proyectar la recaudación de... la recaudación de [PER] en función de la actualización catastral para el período 2022-2025?,4.897019,5.2733836,24
157,158,¿Cuál es la correlación entre... la recaudación de Inmobiliario en función de la implementación del SUATS para el período 2022-2025?,[LOC] es la correlación entre... la recaudación de [PER] en función de la implementación del [ORG] para el período 2022-2025?,4.2155676,6.658234,24
158,159,¿Subió mucho el... los planes de pago en 2026?,¿[MISC] mucho el... los planes de pago en 2026?,12.755087,9.534989,-1
159,160,¿Cuál es la correlación entre... la recaudación de Automotor en función de la implementación del SUATS para el período 2022-2025?,[LOC] es la correlación entre... la recaudación de [PER] en función de la implementación del [ORG] para el período 2022-2025?,4.212295,6.663464,24
160,161,¿Cómo ha evolucionado el federalismo fiscal fractal en... la recaudación de Sellos en función de la implementación del SUATS?,[MISC] ha evolucionado el federalismo fiscal fractal en... la recaudación de [LOC] en función de la implementación del [ORG]?,0.44519097,5.9385395,24
161,162,Estimar el impacto real de... la recaudación de Automotor en función de el tipo de cambio real?,[LOC] el impacto real de... la recaudación de [PER] en función de el tipo de cambio real?,0.34793684,10.864013,-1
162,163,¿Dónde puedo pagar... los planes de pago en 2024?,¿Dónde puedo pagar... los planes de pago en 2024?,15.413461,11.056088,27
163,164,¿Por qué tengo que pagar tanto por... el Impuesto de Sellos en 2021?,¿Por qué tengo que pagar tanto por... el [LOC] en 2021?,17.54689,3.5628297,26
164,165,Modelizar el impacto de... la recaudación de Automotor en función de la política de alícuotas para el período 2022-2025?,[PER] el impacto de... la recaudación de [PER] en función de la política de alícuotas para el período 2022-2025?,3.9834,7.424563,24
165,166,¿Para qué se usa el dinero de... el Impuesto Automotor en 2022?,[LOC]Para qué se usa el dinero de... el [MISC] en 2022?,11.659881,10.671884,30
166,167,¿Cómo me afecta... los planes de pago en 2023?,[MISC] me afecta... los planes de pago en 2023?,12.82796,9.439452,-1
167,168,¿Cómo se compara Mendoza con otras provincias en... la reforma del Impuesto Inmobiliario?,[MISC] se compara [LOC] con otras provincias en... la reforma del Impuesto Inmobiliario?,8.275612,-5.0343623,-1
168,169,¿Subió mucho el... los planes de pago en 2024?,¿[MISC] mucho el... los planes de pago en 2024?,12.722373,9.568679,-1
169,170,¿Para qué se usa el dinero de... el Impuesto Automotor en 2025?,[LOC]Para qué se usa el dinero de... el [MISC] en 2025?,11.686449,10.69558,30
170,171,¿Hay descuentos para... la suba de impuestos en 2021?,[MISC] descuentos para... la suba de impuestos en 2021?,0.43211,-2.131613,-1
171,172,¿Subió mucho el... mis impuestos en 2022?,¿[MISC] mucho el... mis impuestos en 2022?,0.069684006,-2.708144,22
172,173,¿Dónde puedo pagar... mis impuestos en 2025?,¿Dónde puedo pagar... mis impuestos en 2025?,1.9659554,-2.155617,-1
173,174,Entendiendo el... los planes de pago en 2021?,Entendiendo el... los planes de pago en 2021?,12.639802,9.661834,-1
174,175,Descomponer la varianza de la recaudación de... la recaudación de Automotor en función de la inflación?,Descomponer la varianza de la recaudación de... la recaudación de [PER] en función de la inflación?,2.5717003,10.228687,24
175,176,¿Qué tan efectiva ha sido la política de... el sistema SUATS?,¿Qué tan efectiva ha sido la política de... el sistema [ORG]?,1.3502698,5.7167544,-1
176,177,Proyectar la recaudación de... la recaudación de Automotor en función de la inflación para el período 2022-2025?,Proyectar la recaudación de... la recaudación de [PER] en función de la inflación para el período 2022-2025?,2.687785,10.156582,24
177,178,¿Qué estrategia de comunicación se usó para... los topes al Impuesto Automotor?,¿[LOC] estrategia de comunicación se usó para... los topes al [MISC]?,0.30407372,4.7077484,-1
178,179,Entendiendo el... el Impuesto de Sellos en 2026?,Entendiendo el... el [LOC] en 2026?,6.816214,12.272579,21
179,180,Evaluar la progresividad del... la recaudación de Automotor en función de la actividad económica?,Evaluar la progresividad del... la recaudación de [PER] en función de la actividad económica?,3.0987325,8.146228,24
180,181,Propuesta de reforma para... la reforma del Impuesto Inmobiliario?,Propuesta de reforma para... la reforma del Impuesto Inmobiliario?,-2.8139837,4.260496,-1
181,182,¿Subió mucho el... el Impuesto Automotor en 2020?,¿[MISC] mucho el... el [MISC] en 2020?,7.2096176,12.18669,21
182,183,¿Subió mucho el... el Impuesto de Sellos en 2026?,¿[MISC] mucho el... el [LOC] en 2026?,7.0036817,12.0551195,21
183,184,¿Cuál es el costo fiscal de... la estrategia de comunicación fiscal?,[LOC] es el costo fiscal de... la estrategia de comunicación fiscal?,-1.0605634,4.966781,-1
184,185,¿Para qué se usa el dinero de... mis impuestos en 2026?,[LOC]Para qué se usa el dinero de... mis impuestos en 2026?,-0.40153894,-2.133623,22
185,186,¿Es sostenible el actual nivel de... la caída de Ingresos Brutos?,¿Es sostenible el actual nivel de... la caída de [MISC]?,4.197703,5.609302,-1
186,187,¿Para qué se usa el dinero de... el Impuesto de Sellos en 2022?,[LOC]Para qué se usa el dinero de... el [LOC] en 2022?,12.084924,11.063973,30
187,188,¿Cómo se calcula el... el Impuesto Automotor en 2021?,[LOC] se calcula el... el [LOC] en 2021?,5.347522,10.431947,21
188,189,¿Qué pasa si no pago... los planes de pago en 2026?,¿[LOC] pasa si no pago... los planes de pago en 2026?,13.618627,8.386116,29
189,190,¿Cómo se calcula el... mis impuestos en 2021?,[LOC] se calcula el... mis impuestos en 2021?,0.001073361,-2.5802839,22
190,191,¿Dónde puedo pagar... el Impuesto de Sellos en 2023?,¿Dónde puedo pagar... el [LOC] en 2023?,5.7785378,13.340203,27
191,192,¿Dónde puedo pagar... el Impuesto de Sellos en 2022?,¿Dónde puedo pagar... el [LOC] en 2022?,5.7890987,13.330076,27
192,193,Medir la eficiencia administrativa de... la recaudación de Sellos en función de la política de alícuotas para el período 2022-2025?,Medir la eficiencia administrativa de... la recaudación de [LOC] en función de la política de alícuotas para el período 2022-2025?,4.98762,2.1520061,24
193,194,¿Hay descuentos para... los planes de pago en 2025?,[MISC] descuentos para... los planes de pago en 2025?,21.672405,9.794485,28
194,195,¿Cómo ha evolucionado el federalismo fiscal fractal en... la recaudación de Inmobiliario en función de el tipo de cambio real?,[MISC] ha evolucionado el federalismo fiscal fractal en... la recaudación de [PER] en función de el tipo de cambio real?,0.40287945,6.047958,24
195,196,¿Qué estrategia de comunicación se usó para... el sistema SUATS?,¿[LOC] estrategia de comunicación se usó para... el sistema [ORG]?,0.31215885,4.7201343,-1
